class,cad_probs_10,cad_probs_50,cad_probs_5000,cads_avg,n_epochs
LINEAR,0.0,0.736842105263,0.736842105263,6.88277184211,20
Kepler,0.0,1.0,1.0,0.0204341914697,67
ASAS,0.0,0.0,0.552631578947,21.2346863158,39
Kepler,0.0,1.0,1.0,0.0204345367222,19
OGLE-I,0.0,0.0,0.736842105263,2.78700526316,20
SuperWASP,0.985507246377,0.985507246377,1.0,0.01335115942,70
LINEAR,0.027027027027,0.72972972973,0.756756756757,8.78441989189,38
SuperWASP,0.961538461538,0.987854251012,1.0,0.0123011336034,495
ASAS,0.0,0.0,0.65,6.07938375,41
Hipparcos,0.0,0.421686746988,0.807228915663,13.5121809639,84
Kepler,0.0,1.0,1.0,0.0204330442286,71
LINEAR,0.0,0.771428571429,0.771428571429,10.7113415714,36
ASAS,0.0,0.0,0.794117647059,2.86246808824,69
ASAS,0.0,0.0,0.633663366337,5.60087970297,304
ASAS,0.0,0.0526315789474,1.0,0.842076842105,20
Kepler,0.0,0.991507430998,1.0,0.0206077724756,472
Hipparcos,0.0,0.435483870968,0.91935483871,3.25968145161,63
ASAS,0.0,0.0134228187919,0.731543624161,5.67038302013,150
SuperWASP,0.764705882353,0.985294117647,1.0,0.0152679411763,69
OGLE-I,0.0,0.421052631579,0.894736842105,1.46681105263,20
OGLE-III,0.0,0.0,0.455445544554,5.87338346535,102
Stripe82,0.0,0.0,0.470588235294,23.821995,18
ASAS,0.0,0.105263157895,0.894736842105,1.37436842105,20
Kepler,0.0,0.99358974359,1.0,0.0205654706346,157
Hipparcos,0.0,0.411764705882,0.882352941176,8.00578882353,18
OGLE-I,0.0,0.0,0.842105263158,5.24207894737,20
OGLE-III,0.242424242424,0.252525252525,0.474747474747,6.19460616162,100
Kepler,0.0,0.989247311828,1.0,0.0206541632473,94
Stripe82,0.0,0.0,0.555555555556,20.0546278333,19
SuperWASP,0.955252918288,0.976653696498,0.998054474708,0.0263933171206,1029
LINEAR,0.0,0.771428571429,0.785714285714,10.5145058857,71
LINEAR,0.00645161290323,0.761290322581,0.761290322581,8.15924191613,156
Kepler,0.0,0.987951807229,1.0,0.0220347656606,499
OGLE-III,0.0,0.0,0.871794871795,2.50815564103,40
OGLE-I,0.0,0.0,0.738095238095,9.21714928571,43
LINEAR,0.0666666666667,0.804761904762,0.861904761905,2.68897330952,211
LINEAR,0.166666666667,0.833333333333,0.833333333333,3.10416561111,19
OGLE-III,0.0,0.00602409638554,0.801204819277,3.43771692771,167
OGLE-I,0.0,0.0357142857143,0.807142857143,6.14041121429,141
Hipparcos,0.0,0.473684210526,0.789473684211,6.87998947368,20
Stripe82,0.0,0.0,0.588235294118,20.6440398824,18
LINEAR,0.0,0.8,0.8,17.8005931,21
OGLE-III,0.0,0.0,0.842105263158,1.73761684211,20
OGLE-I,0.0,0.0,0.78125,6.32432828125,65
Kepler,0.0,0.993333333333,1.0,0.02056900964,151
OGLE-I,0.0,0.44776119403,0.89552238806,5.32668940299,68
OGLE-III,0.0,0.00653594771242,1.0,0.300123398693,154
OGLE-III,0.0,0.0,0.575757575758,6.78430090909,67
OGLE-III,0.0,0.0,0.564102564103,3.81284641026,40
Hipparcos,0.0,0.4,0.657142857143,10.7209342857,36
Stripe82,0.0,0.0,0.470588235294,23.8219946471,18
LINEAR,0.0,0.771186440678,0.779661016949,8.35750325424,119
SuperWASP,0.959459459459,0.97972972973,0.993243243243,0.047583918921,149
ASAS,0.0512820512821,0.205128205128,0.974358974359,1.30640846154,40
OGLE-III,0.0,0.0,0.525773195876,5.1328514433,98
Hipparcos,0.0,0.438461538462,0.846153846154,8.43477792308,131
Stripe82,0.0,0.0,0.35,55.748678425,41
OGLE-I,0.0,0.0,0.731707317073,9.44195780488,42
Kepler,0.0,0.9900615239,1.0,0.0211482216529,4227
Stripe82,0.0,0.0,0.294117647059,21.2363524706,18
OGLE-I,0.0,0.1,0.7,4.785142,21
LINEAR,0.0,0.787878787879,0.787878787879,10.6971512273,67
LINEAR,0.0,0.639344262295,0.672131147541,22.4615461148,62
SuperWASP,0.974358974359,0.974358974359,1.0,0.0223115384579,40
Kepler,0.0,0.97,1.0,0.02104640255,101
LINEAR,0.0,0.777777777778,0.777777777778,4.26539422222,19
ASAS,0.0,0.0,0.947368421053,1.99506842105,20
LINEAR,0.0,0.760869565217,0.869565217391,4.18585252174,93
SuperWASP,0.772540983607,0.965163934426,0.991803278689,0.145202745902,489
ASAS,0.0283687943262,0.0921985815603,0.624113475177,4.63927510638,142
ASAS,0.0,0.128205128205,0.923076923077,1.48694871795,40
Hipparcos,0.0,0.388888888889,0.833333333333,6.47158611111,19
OGLE-III,0.0,0.0606060606061,0.552188552189,5.63517461279,298
OGLE-III,0.0,0.0,0.553921568627,7.02975426471,205
Stripe82,0.0,0.0,0.571428571429,17.2856438571,22
