class,all_times_hist_peak_val,cad_probs_1,cad_probs_100000,n_epochs,total_time
SuperWASP,1144,0.492753623188,1.0,70,9.05209999997
ASAS,79,0.0,0.975,41,284.10144
SuperWASP,1039,0.493243243243,1.0,149,1.17693999968
Hipparcos,657,0.0,0.955223880597,68,438.20233
Kepler,129,0.0,1.0,67,1.369111322
Kepler,610,0.0,1.0,157,3.228653553
LINEAR,1939,0.0,0.990990990991,223,818.845834
Stripe82,114,0.0,0.882352941176,35,1467.098839
SuperWASP,699,0.478260869565,1.0,70,2.90941999992
SuperWASP,1377,0.493243243243,1.0,149,1.92813999997
Kepler,195,0.0,1.0,100,2.043429387
Stripe82,13,0.0,0.769230769231,14,1141.959254
OGLE-III,13373,0.0,0.989705882353,681,2775.64505
ASAS,167,0.0,0.986301369863,74,478.79534
LINEAR,34,0.0,1.0,20,63.862591
SuperWASP,18867,0.498977505112,1.0,490,14.8213400003
LINEAR,270,0.0,0.987804878049,83,596.641497
Hipparcos,39,0.0,1.0,18,169.15797
Kepler,4019766,0.999438123332,1.0,14239,9.726051179
OGLE-I,1017,0.0,0.985714285714,141,860.81752
Stripe82,223,0.0,0.878048780488,42,2217.956973
OGLE-III,17,0.0,0.947368421053,20,243.07979
Stripe82,53,0.0,0.75,25,2339.809736
OGLE-III,188,0.0,0.971830985915,72,638.09791
OGLE-III,1428,0.0,0.991150442478,227,857.8209
SuperWASP,370,0.492753623188,1.0,70,0.956900000107
SuperWASP,1284,0.5,1.0,149,2.10233999975
Kepler,5357,0.0,1.0,498,10.257962871
SuperWASP,20,0.473684210526,1.0,20,0.0711300000548
OGLE-III,18,0.0,1.0,20,9.92659
Kepler,438,0.0,1.0,149,3.044697092
ASAS,651,0.0,0.978723404255,142,1354.21497
ASAS,50,0.0,1.0,39,210.07142
ASAS,1566,0.0,0.987012987013,232,1173.87752
ASAS,55,0.0,0.975,41,292.14279
LINEAR,46,0.0,0.969696969697,34,379.009649
OGLE-III,156,0.0,1.0,70,31.08883
ASAS,847,0.0,0.993710691824,160,488.86905
LINEAR,50,0.0,1.0,20,35.945058
SuperWASP,3515014,0.493920789695,0.999879619598,8308,562.77305
ASAS,522,0.0,0.96875,97,1318.23951
SuperWASP,1069,0.486486486486,1.0,149,1.28928999975
ASAS,37606,0.0,0.995505617978,446,846.86258
Kepler,614,0.0,1.0,157,3.208220655
ASAS,325,0.0,0.978723404255,95,634.99799
Kepler,394875,0.0,1.0,4446,93.422341566
Hipparcos,87,0.0,0.95,21,213.71262
SuperWASP,2319,0.5,1.0,149,3.07768999971
SuperWASP,129,0.473684210526,1.0,20,1.84152999986
SuperWASP,750,0.484848484848,1.0,100,1.87993000029
OGLE-III,15332,0.0,0.985775248933,704,4223.72382
SuperWASP,147,0.384615384615,1.0,40,0.857469999697
OGLE-III,159,0.0,0.970149253731,68,586.15832
Stripe82,54,0.0,0.884615384615,27,1141.959246
SuperWASP,84,0.473684210526,1.0,20,0.774670000188
Kepler,25780,0.0,1.0,1111,23.764061951
OGLE-III,679,0.0,0.97972972973,149,1005.05697
OGLE-III,1530,0.0,0.981900452489,222,1677.65557
SuperWASP,15765,0.502040816327,1.0,491,44.0445099999
ASAS,1215,0.0,0.990610328638,214,891.64189
Hipparcos,357,0.0,0.924731182796,94,1153.40134
Hipparcos,33,0.0,1.0,19,111.26185
ASAS,660,0.0,0.987341772152,159,853.82001
OGLE-III,9,0.0,1.0,19,44.98977
Stripe82,26,0.0,0.705882352941,18,1568.80224
LINEAR,183,0.0,0.965517241379,59,529.82971
OGLE-I,19,0.0,1.0,20,83.77367
OGLE-III,1501,0.0,0.986486486486,223,1291.69246
ASAS,322,0.0,0.990196078431,103,389.95843
ASAS,182,0.0,1.0,95,0.26624
OGLE-III,58,0.0,1.0,39,44.8871
Kepler,131,0.0,1.0,68,1.389536402
SuperWASP,61,0.473684210526,1.0,20,0.863960000221
LINEAR,432,0.0,0.972222222222,109,1107.027269
SuperWASP,2536,0.486666666667,1.0,151,9.92241999973
SuperWASP,851,0.492753623188,1.0,70,2.96578999981
SuperWASP,404,0.461538461538,1.0,40,2.77614999982
Kepler,402104,0.0,1.0,4487,94.672171453
OGLE-III,10,0.0,1.0,20,69.99789
ASAS,336,0.0,0.990291262136,104,677.0675
SuperWASP,3906,0.5,1.0,251,2.84619999956
OGLE-III,1052,0.0,0.983516483516,183,1233.70295
LINEAR,519,0.0,0.9375,113,1947.81378
Kepler,5774,0.0,1.0,499,11.545339895
OGLE-III,565,0.0,0.985507246377,139,896.90052
LINEAR,94,0.0,0.971428571429,36,436.918375
OGLE-III,308,0.0,0.989473684211,96,376.9683
Hipparcos,60,0.0,0.971428571429,36,406.41575
LINEAR,36,0.0,1.0,20,65.854549
LINEAR,263,0.046511627907,0.976744186047,44,299.115999
LINEAR,1002,0.0,0.966101694915,178,1999.758165
Stripe82,30,0.0,0.947368421053,20,409.951807
SuperWASP,2038,0.493243243243,1.0,149,4.04940999998
Kepler,23029,0.0,1.0,1034,23.374861193
SuperWASP,41,0.487179487179,1.0,40,0.163040000014
SuperWASP,60709,0.494219653179,1.0,1039,20.0025900002
OGLE-III,37414,0.0,0.991039426523,1117,4083.95778
Kepler,291,0.0,1.0,101,2.084315384
SuperWASP,2336,0.5,1.0,101,12.91653
Kepler,25210,0.0,1.0,1122,23.193056694
ASAS,6923,0.0,0.990950226244,443,1578.952
Kepler,39,0.0,1.0,40,0.796943354
ASAS,346,0.0,0.990384615385,105,543.76778
ASAS,2663,0.0,0.979933110368,300,1752.17531
LINEAR,1272,0.0,0.969543147208,198,1947.824183
Kepler,197,0.0,1.0,100,2.023022147
Stripe82,59,0.0,0.777777777778,19,1802.926753
OGLE-III,189,0.0,0.985915492958,72,380.96822
OGLE-I,20,0.0,1.0,20,77.71553
LINEAR,72,0.0,0.972972972973,38,336.021926
Kepler,614,0.0,1.0,157,3.208190408
Kepler,183,0.0,1.0,94,1.920840933
SuperWASP,39283,0.494208494208,1.0,1037,38.8957700003
OGLE-III,289,0.0,1.0,100,31.11194
SuperWASP,194,0.487179487179,1.0,40,0.802180000115
LINEAR,146,0.0,0.967741935484,63,630.138227
Stripe82,14,0.0,0.785714285714,15,1141.959259
LINEAR,444,0.0,0.969696969697,100,817.822912
Kepler,1515,0.0,1.0,258,5.292381396
Hipparcos,386,0.0,0.921052631579,77,913.82432
SuperWASP,627,0.484848484848,1.0,100,0.995019999798
Stripe82,17,0.0,0.9375,17,367.975743
OGLE-III,11,0.0,1.0,20,84.83425
OGLE-I,688,0.0,0.989898989899,100,455.91693
SuperWASP,1662,0.5,1.0,151,1.92635000031
ASAS,37937,0.0,0.994919559695,1182,3233.63552
Kepler,38,0.0,1.0,39,0.776503984
OGLE-I,106,0.0,1.0,43,118.8517
LINEAR,298,0.0,0.972602739726,74,712.062362
OGLE-III,154,0.0,0.984848484848,67,399.93453
SuperWASP,600,0.49,1.0,101,1.01551000029
Kepler,438,0.0,1.0,149,3.044719331
LINEAR,134,0.116666666667,0.966666666667,61,582.683257
Stripe82,20,0.0,0.941176470588,18,358.023017
OGLE-III,128,0.0,0.984375,65,408.99129
ASAS,10,0.0,1.0,20,75.88068
Hipparcos,124,0.0,1.0,59,489.92576
SuperWASP,248,0.435897435897,1.0,40,5.9138600002
Stripe82,14,0.0,0.769230769231,14,1141.959248
Kepler,614,0.0,1.0,157,3.20823668
OGLE-III,1666,0.0,0.991596638655,239,946.68063
Stripe82,42,0.0,0.857142857143,22,1135.956313
OGLE-III,2036,0.0,0.978902953586,238,1657.32739
OGLE-I,50,0.0,1.0,35,114.81535
Kepler,610,0.0,1.0,157,3.228648042
Kepler,1160,0.0,1.0,236,4.822533323
OGLE-III,92,0.0,1.0,40,10.81051
OGLE-III,5712,0.0,0.979848866499,398,3036.94455
SuperWASP,19,0.526315789474,1.0,20,0.0546300001442
ASAS,24,0.0,0.944444444444,19,243.33278
OGLE-III,55,0.0,0.973684210526,39,330.73413
Hipparcos,1678,0.0,0.960526315789,153,1133.9777
Hipparcos,21,0.0,1.0,18,164.54592
Kepler,185,0.0,1.0,94,1.90040839
ASAS,55,0.0,0.973684210526,39,396.95003
ASAS,18320,0.0,0.987534626039,723,3299.98193
Stripe82,153,0.0,0.861111111111,37,2229.947142
Kepler,1145,0.0,1.0,235,4.842977307
Hipparcos,452,0.0,0.97619047619,43,415.46159
OGLE-I,1029,0.0,0.985714285714,141,859.65757
Kepler,610,0.0,1.0,157,3.228612416
Hipparcos,226,0.0,1.0,38,163.72058
OGLE-III,878,0.0,0.975460122699,164,1575.89433
Kepler,432,0.0,1.0,147,3.003780201
Kepler,22416,0.0,1.0,1021,22.537945228
ASAS,13,0.0,1.0,20,40.86371
ASAS,563,0.0,0.978873239437,143,816.74535
LINEAR,161,0.0,0.984375,65,480.838298
OGLE-I,354,0.0,0.975308641975,82,711.97307
LINEAR,113,0.0,1.0,39,70.833148
OGLE-III,1519,0.0,0.992424242424,133,299.10026
ASAS,83851,0.0,0.995249406176,422,703.02586
Hipparcos,988,0.0,0.994535519126,184,1135.24087
ASAS,435,0.0,0.965909090909,89,952.27287
Stripe82,125,0.0,0.820512820513,40,2336.772407
Stripe82,19,0.0,0.9375,17,391.031252
SuperWASP,6934,0.48987854251,1.0,248,20.99548
Kepler,137,0.0,1.0,70,1.409963363
Kepler,135,0.0,1.0,71,1.471274414
